,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
0,Maruti S PRESSO,2022,3878,1,PETROL,HR-98,Manual,HatchBack,514000
1,Hyundai Xcent,2018,32041,1,PETROL,TN-22,Manual,Sedan,674000
2,Tata Safari,2021,96339,1,DIESEL,TS-08,Automatic,SUV,1952000
3,Maruti Vitara Brezza,2019,51718,1,DIESEL,WB-24,Manual,SUV,690000
4,Tata Tiago,2021,19811,1,PETROL,HR-51,Manual,HatchBack,526000
5,Maruti Swift,2017,70129,1,PETROL,MH-14,Manual,HatchBack,552000
6,Hyundai i20,2012,103781,1,PETROL,,Manual,HatchBack,278000
7,Renault Kwid,2021,31945,2,PETROL,UP-32,Automatic,HatchBack,518000
8,Hyundai Grand i10,2015,39950,1,PETROL,HR-26,Manual,HatchBack,443000
9,Maruti Swift,2018,56697,1,DIESEL,KA-04,Automatic,HatchBack,710350
10,Maruti IGNIS,2018,38184,2,CNG,PB-10,Automatic,HatchBack,548000
11,Maruti S PRESSO,2019,30347,1,PETROL,MH-48,Automatic,HatchBack,481000
12,Honda Brio,2012,42375,2,PETROL,GJ-05,Manual,HatchBack,312000
13,Hyundai Elite i20,2019,47231,1,PETROL,GJ-27,Manual,HatchBack,613000
14,Honda City,2014,111577,1,PETROL,,Manual,Sedan,503000
15,Maruti Baleno,2018,60042,1,PETROL,MH-47,Manual,HatchBack,614000
16,Honda WR-V,2017,93518,1,DIESEL,KA-01,Manual,SUV,693000
17,Honda Amaze,2019,33245,1,PETROL,MH-01,Manual,Sedan,439000
18,Maruti Alto 800,2016,43717,1,PETROL,GJ-01,Manual,HatchBack,294000
19,Maruti Celerio,2021,1863,1,PETROL,PB-91,Automatic,HatchBack,716000
20,Ford Ecosport,2019,50078,1,PETROL,TN-19,Manual,SUV,836000
21,Maruti Ciaz,2018,63856,1,PETROL,UP-16,Manual,Sedan,794000
22,Renault Kwid,2018,72337,1,PETROL,KA-19,Manual,HatchBack,324000
23,Maruti Swift,2021,14567,1,PETROL,WB-02,Manual,HatchBack,678000
24,Hyundai Elite i20,2018,36778,1,CNG,DL-8C,Manual,HatchBack,587000
25,Hyundai Elite i20,2015,50419,1,PETROL,DL-12,Manual,HatchBack,474000
26,Honda City,2010,45257,1,DIESEL,HR-51,Manual,Sedan,608000
27,Maruti Swift,2016,40368,1,PETROL,HR-26,Manual,HatchBack,477000
28,Datsun Redi Go,2016,37488,1,PETROL,CH-01,Manual,HatchBack,205000
29,Tata TIAGO NRG,2019,43253,1,PETROL,KA-53,Manual,HatchBack,574000
30,Renault Kwid,2022,6587,1,PETROL,KA-02,Manual,HatchBack,572000
31,Honda Amaze,2019,37566,2,PETROL,TS-13,Manual,Sedan,635000
32,Hyundai Santro Xing,2011,33952,2,PETROL,KL-22,Manual,HatchBack,169000
33,Ford FREESTYLE,2018,31679,1,PETROL,KL-09,Manual,SUV,611000
34,Maruti Swift,2018,98221,2,CNG,HR-10,Manual,HatchBack,558000
35,Maruti Baleno,2016,45836,1,PETROL,UP-16,Manual,HatchBack,520000
36,Honda Amaze,2018,75883,1,CNG,MH-05,Manual,Sedan,483000
37,Maruti Dzire,2021,27480,1,PETROL,GJ-01,Manual,Sedan,707000
38,Maruti Ciaz,2017,61250,1,DIESEL,TS-07,Manual,Sedan,796000
39,Maruti Alto,2021,16516,1,CNG,DL-11,Manual,HatchBack,483000
40,Hyundai NEW SANTRO,2019,57656,1,CNG,MH-46,Manual,HatchBack,482000
41,Maruti Baleno,2017,33669,2,PETROL,MH-12,Automatic,HatchBack,675000
42,Maruti Celerio,2018,124206,2,PETROL,,Manual,HatchBack,373000
43,Maruti Alto 800,2018,36722,1,PETROL,MH-04,Manual,HatchBack,324000
44,Honda City,2010,87722,1,DIESEL,KA-05,Manual,Sedan,448000
45,Maruti Celerio,2015,62663,2,PETROL,UP-16,Automatic,HatchBack,377000
46,Honda WR-V,2017,38022,1,PETROL,MH-04,Manual,SUV,581000
47,Maruti Swift,2019,28956,1,PETROL,UP-14,Manual,HatchBack,572000
48,Maruti Swift,2015,119106,2,PETROL,,Manual,HatchBack,490000
49,Hyundai Grand i10,2017,71686,1,PETROL,HR-16,Manual,HatchBack,417000
50,Maruti Alto K10,2017,45785,1,PETROL,DL-9C,Manual,HatchBack,347000
51,Ford Endeavour,2019,94389,1,DIESEL,GJ-02,Manual,Lux_SUV,2192000
52,Maruti Ciaz,2017,30052,1,PETROL,DL-9C,Manual,Sedan,570000
53,Honda Amaze,2019,99520,1,PETROL,HR-26,Automatic,Sedan,326000
54,Maruti Swift Dzire,2013,69372,1,PETROL,MH-48,Automatic,Sedan,708000
55,Maruti Wagon R 1.0,2014,21799,1,PETROL,MH-04,Manual,HatchBack,351000
56,Maruti Swift,2014,69045,1,PETROL,UP-14,Manual,HatchBack,401000
57,Maruti Alto,2020,26533,1,CNG,RJ-02,Manual,HatchBack,406000
58,Hyundai GRAND I10 NIOS,2020,44937,1,CNG,HR-51,Manual,HatchBack,628000
59,Hyundai Grand i10,2017,75370,1,PETROL,TN-22,Manual,HatchBack,468000
60,Honda City,2017,4756,1,PETROL,MH-47,Manual,Sedan,940000
61,Maruti Alto K10,2012,39085,1,PETROL,DL-12,Manual,HatchBack,208000
62,Maruti Celerio X,2018,32891,1,PETROL,MH-12,Automatic,HatchBack,595000
63,Hyundai Grand i10,2017,35775,1,PETROL,GJ-01,Manual,HatchBack,515000
64,Toyota URBAN CRUISER,2021,37618,1,PETROL,BR-01,Automatic,SUV,1010000
65,Ford Ecosport,2015,67486,3,PETROL,MH-02,Automatic,SUV,505000
66,Hyundai Grand i10,2018,15290,2,PETROL,HR-51,Manual,HatchBack,469000
67,Honda Amaze,2017,97313,2,PETROL,DL-14,Manual,Sedan,401000
68,Mahindra XUV500,2018,105290,1,DIESEL,TS-07,Manual,Lux_SUV,1222000
69,Hyundai Elite i20,2014,65354,1,PETROL,TN-02,Manual,HatchBack,523000
70,Hyundai Verna,2017,28991,1,PETROL,MH-12,Manual,Sedan,714000
71,Honda WR-V,2019,72139,1,CNG,DL-8C,Manual,SUV,772000
72,Maruti Alto,2022,8502,1,CNG,MH-12,Manual,HatchBack,528000
73,Maruti Alto K10,2018,48617,1,PETROL,KL-27,Manual,HatchBack,365000
74,Maruti Swift Dzire,2015,106877,1,PETROL,,Manual,Sedan,224000
75,Hyundai VENUE,2019,50050,1,PETROL,UP-78,Automatic,SUV,897000
76,Tata NEXON,2017,69430,1,PETROL,TN-14,Manual,SUV,707000
77,Maruti Baleno,2016,68815,1,PETROL,MH-01,Automatic,HatchBack,584000
78,Maruti Baleno,2016,64759,1,PETROL,MH-12,Manual,HatchBack,545000
79,Maruti Wagon R 1.0,2016,40417,1,PETROL,DL-9C,Automatic,HatchBack,401000
80,Maruti Baleno,2018,68101,1,PETROL,TS-07,Manual,HatchBack,691000
81,Honda City,2019,64853,2,PETROL,KL-45,Manual,Sedan,338000
82,Mahindra KUV 100 NXT,2017,51642,1,DIESEL,UP-14,Manual,SUV,507000
83,Maruti Alto K10,2018,24502,2,PETROL,WB-90,Manual,HatchBack,293000
84,Hyundai Elite i20,2016,60350,1,PETROL,TS-07,Manual,HatchBack,629000
85,Maruti Alto 800,2014,71000,2,PETROL,PB-10,Manual,HatchBack,234000
86,Toyota YARIS,2021,66161,2,PETROL,KA-01,Manual,Sedan,662000
87,Maruti Wagon R 1.0,2015,64154,1,PETROL,UP-32,Manual,HatchBack,325000
88,Mahindra XUV 3OO,2020,21270,1,DIESEL,GJ-01,Automatic,SUV,1064000
89,Hyundai Santro Xing,2010,90382,2,PETROL,AP-23,Manual,HatchBack,205000
90,Honda City,2018,49423,1,PETROL,KA-02,Manual,Sedan,810000
91,Hyundai Elite i20,2016,47227,1,PETROL,KL-41,Manual,HatchBack,588000
92,Renault TRIBER,2021,24236,1,PETROL,PB-70,Manual,SUV,677000
93,Hyundai Tucson New,2018,86933,2,PETROL,UP-14,Manual,Lux_SUV,1221000
94,Mahindra TUV300,2017,58157,1,DIESEL,TN-09,Manual,SUV,817000
95,Toyota Glanza,2020,35636,1,PETROL,MH-01,Automatic,HatchBack,809000
96,Maruti Ciaz,2017,45639,2,PETROL,MH-03,Manual,Sedan,428000
97,Honda City,2016,53355,1,PETROL,DL-1C,Manual,Sedan,678000
98,Maruti Baleno,2017,88993,1,PETROL,MP-09,Automatic,HatchBack,619000
99,Maruti Eeco,2022,2075,1,CNG,KL-01,Manual,SUV,552000
100,Renault Duster,2014,59943,1,PETROL,DL-1C,Manual,SUV,446000
101,Renault Duster,2020,20743,1,PETROL,KA-05,Manual,SUV,942000
102,Maruti Swift,2014,33869,1,DIESEL,KA-03,Manual,HatchBack,507000
103,Honda City,2016,71731,2,PETROL,HR-51,Manual,Sedan,627000
104,Hyundai GRAND I10 NIOS,2019,25955,2,PETROL,WB-20,Automatic,HatchBack,565000
105,Ford Ecosport,2018,47942,1,PETROL,DL-10,Manual,SUV,844000
106,Maruti Wagon R 1.0,2014,63838,2,PETROL,UP-32,Manual,HatchBack,281000
107,Maruti Swift Dzire,2012,50854,2,PETROL,DL-3C,Manual,Sedan,294000
108,Maruti Alto,2020,18534,1,PETROL,KL-36,Manual,HatchBack,368000
109,Hyundai Elite i20,2016,118327,2,DIESEL,MH-14,Manual,HatchBack,613000
110,Toyota URBAN CRUISER,2020,22389,1,PETROL,UP-78,Manual,SUV,751000
111,Mahindra XUV500,2018,105759,2,DIESEL,KA-09,Manual,Lux_SUV,1196000
112,Maruti Alto 800,2015,30790,1,PETROL,MH-12,Manual,HatchBack,253000
113,Honda City,2010,68137,1,PETROL,TN-07,Manual,Sedan,737000
114,Hyundai i10,2012,35125,2,PETROL,TN-07,Manual,HatchBack,308000
115,Hyundai Elite i20,2018,67281,2,PETROL,GJ-01,Manual,HatchBack,690000
116,Hyundai NEW SANTRO,2018,80229,1,CNG,MH-14,Manual,HatchBack,436000
117,Hyundai NEW SANTRO,2018,22533,1,PETROL,TS-10,Manual,HatchBack,505000
118,Hyundai NEW SANTRO,2019,27153,2,PETROL,RJ-36,Manual,HatchBack,486000
119,Nissan MAGNITE,2021,66065,1,PETROL,DL-8C,Manual,SUV,750000
120,Honda City,2018,53612,2,PETROL,TN-02,Automatic,Sedan,591000
121,Hyundai Grand i10,2017,23376,1,PETROL,MH-05,Manual,HatchBack,535000
122,KIA SONET,2021,22542,1,PETROL,PB-91,Manual,SUV,1141000
123,Tata Safari,2021,25239,1,DIESEL,TN-14,Automatic,SUV,1810000
124,Ford FREESTYLE,2020,37077,1,PETROL,KA-04,Manual,SUV,633000
125,Maruti Alto 800,2017,54791,1,PETROL,TS-07,Manual,HatchBack,331000
126,Maruti Ertiga,2012,100274,1,DIESEL,BR-01,Manual,SUV,416000
127,Hyundai Elite i20,2016,74317,1,PETROL,HR-35,Manual,HatchBack,483000
128,Maruti Ciaz,2017,70660,1,PETROL,GJ-01,Automatic,Sedan,776000
129,Ford Ecosport,2019,57675,1,CNG,DL-8C,Manual,SUV,796000
130,Hyundai Grand i10,2019,32033,1,PETROL,DL-9C,Automatic,HatchBack,593000
131,Hyundai i10,2010,99873,1,PETROL,HR-26,Manual,HatchBack,162000
132,Maruti Wagon R 1.0,2018,10409,1,PETROL,MH-02,Automatic,HatchBack,486000
133,Honda Jazz,2016,31130,1,PETROL,PB-08,Manual,HatchBack,461000
134,KIA SELTOS,2020,96537,2,PETROL,GJ-18,Manual,SUV,906000
135,Renault Duster,2013,92379,1,DIESEL,RJ-14,Manual,SUV,362000
136,Maruti Swift Dzire,2014,26337,2,PETROL,UP-37,Manual,Sedan,621000
137,Nissan MAGNITE,2021,25725,1,PETROL,GJ-38,Automatic,SUV,858000
138,Hyundai Grand i10,2019,15100,1,PETROL,HR-03,Manual,HatchBack,606000
139,Hyundai GRAND I10 NIOS,2021,27546,1,PETROL,MP-09,Automatic,HatchBack,692000
140,Maruti Wagon R 1.0,2018,32330,1,PETROL,HR-52,Automatic,HatchBack,449000
141,Honda Amaze,2019,18152,1,PETROL,GJ-06,Manual,Sedan,689000
142,Maruti Dzire,2017,71321,2,PETROL,HR-26,Manual,Sedan,701000
143,Maruti Alto K10,2012,80172,2,PETROL,AP-29,Manual,HatchBack,197300
144,Maruti Swift,2018,44602,1,PETROL,TS-07,Manual,HatchBack,654000
145,Toyota YARIS,2018,39299,1,PETROL,MH-12,Automatic,Sedan,901000
146,Honda Brio,2012,52092,2,PETROL,KA-04,Manual,HatchBack,332000
147,Volkswagen Ameo,2018,19158,1,PETROL,TN-59,Manual,Sedan,654000
148,Renault Kiger,2021,20044,1,PETROL,KA-04,Manual,HatchBack,675000
149,Maruti Wagon R 1.0,2014,44752,1,PETROL,MH-03,Manual,HatchBack,353000
150,Honda Accord,2013,114653,1,PETROL,,Manual,Sedan,190000
151,Datsun Redi Go,2018,30732,1,PETROL,KA-04,Manual,HatchBack,262000
152,Maruti Swift Dzire,2012,14799,1,PETROL,MH-01,Manual,Sedan,468000
153,Maruti Dzire,2018,43525,1,PETROL,KA-05,Manual,Sedan,674000
154,Hyundai Grand i10,2017,92995,2,PETROL,HR-36,Manual,HatchBack,442000
155,Hyundai NEW I20,2021,14261,1,PETROL,TN-14,Manual,HatchBack,763000
156,Honda Amaze,2013,9415,1,PETROL,GJ-32,Manual,Sedan,723000
157,Maruti Celerio,2018,17547,1,PETROL,MH-01,Automatic,HatchBack,488000
158,Maruti Celerio,2017,49344,1,PETROL,GJ-08,Automatic,HatchBack,471000
159,Hyundai Elite i20,2019,18690,1,PETROL,TS-12,Manual,HatchBack,751000
160,Tata NEXON,2018,83234,1,DIESEL,WB-26,Manual,SUV,526000
161,Maruti Ciaz,2021,17752,1,PETROL,TN-06,Manual,Sedan,761000
162,Honda Amaze,2021,97084,1,PETROL,KA-41,Manual,Sedan,422000
163,Hyundai Xcent,2015,40791,2,PETROL,MH-01,Manual,Sedan,444000
164,Tata ALTROZ,2020,35197,1,DIESEL,MH-03,Manual,HatchBack,787000
165,Maruti Vitara Brezza,2018,73081,1,DIESEL,UP-65,Manual,SUV,635000
166,Maruti Wagon R 1.0,2018,58165,2,PETROL,MP-04,Manual,HatchBack,383000
167,Maruti Wagon R 1.0,2011,22866,1,PETROL,DL-8C,Manual,HatchBack,220000
168,Maruti Baleno,2017,54410,1,PETROL,DL-9C,Manual,HatchBack,496000
169,Maruti Wagon R 1.0,2017,14524,1,PETROL,KA-53,Manual,HatchBack,463000
170,Renault Kwid,2015,66995,2,PETROL,MH-14,Manual,HatchBack,283000
171,Maruti Wagon R 1.0,2017,75537,1,CNG,DL-8C,Manual,HatchBack,374250
172,Maruti Dzire,2017,39198,1,PETROL,TS-08,Automatic,Sedan,973000
173,Maruti Baleno,2016,74270,2,DIESEL,MH-12,Manual,HatchBack,545000
174,Maruti Baleno,2017,36573,3,PETROL,TN-14,Manual,HatchBack,610000
175,Maruti A Star,2010,64103,2,PETROL,KA-02,Manual,HatchBack,221000
176,Maruti Alto 800,2018,26158,1,PETROL,PB-91,Manual,HatchBack,343000
177,Maruti Alto,2019,60299,1,PETROL,GJ-03,Manual,HatchBack,380000
178,Maruti Baleno,2017,32343,1,PETROL,MH-14,Automatic,HatchBack,603000
179,Maruti Ciaz,2015,123077,2,DIESEL,GJ-01,Manual,Sedan,569350
180,Hyundai Elite i20,2017,29201,2,PETROL,MH-02,Manual,HatchBack,561000
181,Honda City,2017,71105,1,PETROL,MH-48,Automatic,Sedan,627000
182,Maruti Swift Dzire,2012,73399,1,PETROL,AP-23,Manual,Sedan,419000
183,Maruti Swift Dzire,2013,41312,1,PETROL,AP-10,Manual,Sedan,451000
184,Maruti Baleno,2017,34102,1,PETROL,MH-03,Manual,HatchBack,624000
185,Hyundai i10,2011,69532,1,PETROL,KA-05,Automatic,HatchBack,343000
186,Maruti Vitara Brezza,2020,41465,2,DIESEL,HR-13,Manual,SUV,726000
187,Maruti Ritz,2014,75638,2,PETROL,TS-13,Manual,HatchBack,378000
188,Maruti Dzire,2019,51377,1,PETROL,TS-08,Automatic,Sedan,672000
189,Maruti Swift Dzire,2014,35872,1,PETROL,WB-02,Manual,Sedan,336000
190,Honda Jazz,2015,74079,2,PETROL,GJ-06,Manual,HatchBack,428000
191,Maruti Wagon R 1.0,2011,79275,1,PETROL,DL-8C,Manual,HatchBack,202000
192,Hyundai Grand i10,2018,27721,1,PETROL,DL-8C,Manual,HatchBack,497000
193,Maruti Swift,2018,21347,1,PETROL,DL-5C,Manual,HatchBack,559000
194,Maruti IGNIS,2017,59811,1,PETROL,MH-05,Automatic,HatchBack,537000
195,Nissan Micra,2018,89172,1,PETROL,GJ-05,Automatic,HatchBack,449000
196,Maruti Baleno,2019,31867,1,PETROL,DL-8C,Manual,HatchBack,680000
197,Hyundai i20,2012,39845,1,PETROL,MH-02,Manual,HatchBack,320000
198,Maruti Alto K10,2015,67182,2,PETROL,MH-12,Automatic,HatchBack,348000
199,Mahindra XUV500,2018,69690,1,DIESEL,MH-47,Manual,Lux_SUV,1187000
200,Renault Kwid,2019,66740,1,PETROL,GJ-05,Automatic,HatchBack,401000
201,Honda Brio,2014,70683,2,PETROL,UP-32,Manual,HatchBack,286000
202,Maruti Swift,2019,39280,2,PETROL,GJ-05,Manual,HatchBack,572000
203,Maruti Vitara Brezza,2019,41265,2,DIESEL,GJ-03,Manual,SUV,914000
204,Hyundai Verna,2017,58942,1,PETROL,MH-12,Automatic,Sedan,802000
205,Hyundai i20,2014,36766,2,PETROL,KA-51,Manual,HatchBack,525000
206,Hyundai Eon,2016,33476,1,PETROL,MH-12,Manual,HatchBack,327000
207,Hyundai Creta,2015,99951,2,PETROL,DL-1C,Manual,SUV,690000
208,Tata Tiago,2021,12060,1,PETROL,TN-09,Manual,HatchBack,667000
209,Tata Tiago,2019,30214,1,PETROL,TN-58,Manual,HatchBack,477000
210,Ford Ecosport,2016,46706,1,PETROL,DL-2C,Manual,SUV,692000
211,Maruti Wagon R 1.0,2014,53706,1,PETROL,MH-15,Manual,HatchBack,327000
212,Hyundai Grand i10,2014,59973,1,PETROL,TS-07,Manual,HatchBack,440000
213,Maruti Alto,2020,61703,1,PETROL,PB-07,Manual,HatchBack,333000
214,Hyundai Eon,2015,43724,1,PETROL,KA-19,Manual,HatchBack,299000
215,Maruti Baleno,2017,26371,1,PETROL,HR-30,Manual,HatchBack,529000
216,Hyundai Verna,2017,114451,1,DIESEL,KA-13,Manual,Sedan,800000
217,Maruti Celerio,2020,81389,1,CNG,MH-12,Manual,HatchBack,497000
218,Ford Ecosport,2017,33921,1,PETROL,TN-12,Manual,SUV,722000
219,Mahindra Bolero,2020,47559,2,DIESEL,UP-32,Manual,SUV,762000
220,Maruti Alto K10,2010,54671,1,PETROL,KA-03,Manual,HatchBack,233000
221,Hyundai i10,2010,50831,3,PETROL,KA-51,Manual,HatchBack,241000
222,Maruti Celerio,2020,50393,1,CNG,MH-43,Manual,HatchBack,507000
223,Hyundai VENUE,2021,16860,2,PETROL,TN-12,Manual,SUV,1007000
224,Maruti Dzire,2020,69384,2,DIESEL,WB-20,Automatic,Sedan,676000
225,Renault Duster,2016,52851,1,DIESEL,GJ-16,Manual,SUV,573000
226,Maruti Alto 800,2015,61979,1,PETROL,TS-09,Manual,HatchBack,277000
227,Hyundai i10,2011,72666,1,PETROL,MH-12,Manual,HatchBack,237000
228,Maruti IGNIS,2020,52819,1,PETROL,BR-01,Automatic,HatchBack,611000
229,Renault Kwid,2019,19797,1,PETROL,DL-8C,Manual,HatchBack,344000
230,Hyundai NEW SANTRO,2018,39198,2,PETROL,MP-04,Automatic,HatchBack,538000
231,Honda City,2016,16856,1,PETROL,HR-26,Manual,Sedan,702000
232,Toyota Etios Liva,2014,73506,1,PETROL,DL-8C,Manual,HatchBack,269800
233,Maruti Ciaz,2015,51252,1,PETROL,TN-12,Automatic,Sedan,716000
234,Maruti Alto,2019,20494,1,PETROL,CH-01,Manual,HatchBack,324000
235,Maruti Ciaz,2018,14290,1,PETROL,MH-14,Automatic,Sedan,1368000
236,Honda Jazz,2017,50359,1,PETROL,KA-04,Automatic,HatchBack,696000
237,Renault Kwid,2018,9889,1,PETROL,DL-12,Manual,HatchBack,350000
238,Maruti Wagon R 1.0,2014,40670,1,CNG,MH-12,Manual,HatchBack,376000
239,Renault TRIBER,2022,5303,1,PETROL,MH-12,Manual,SUV,719000
240,Maruti Celerio,2016,63509,1,PETROL,MH-34,Automatic,HatchBack,413000
241,Hyundai NEW I20,2021,17449,2,DIESEL,KA-11,Manual,HatchBack,856000
242,Maruti Baleno,2019,43476,2,PETROL,RJ-02,Manual,HatchBack,588000
243,Honda Amaze,2021,11799,1,PETROL,KL-22,Manual,Sedan,799000
244,Maruti Wagon R 1.0,2014,52914,1,PETROL,TN-22,Manual,HatchBack,364000
245,Hyundai Santro Xing,2011,73284,2,PETROL,MP-09,Manual,HatchBack,218000
246,Hyundai GRAND I10 NIOS,2019,55115,2,PETROL,MH-40,Manual,HatchBack,535000
247,Maruti Celerio,2016,40547,1,PETROL,KA-05,Automatic,HatchBack,452000
248,Maruti Wagon R 1.0,2013,50244,1,PETROL,MH-01,Manual,HatchBack,298000
249,Renault Kwid,2018,46656,1,PETROL,GJ-05,Manual,HatchBack,352000
